feature,importance
pred_fnn,0.8083832093522089
fraud_feature_categorical_critical_v35,0.18517936274713678
fraud_feature_discrete_critical_v148,0.1640153673440043
fraud_feature_categorical_critical_v36,0.14377854026462308
fraud_feature_categorical_high_v53,0.13962428582488903
fraud_feature_discrete_critical_v149,0.12039694233727843
fraud_feature_discrete_critical_v155,0.10833695938920407
identity_id_17,0.10374239985446404
fraud_feature_discrete_critical_v189,0.1031871574515148
fraud_feature_discrete_critical_v153,0.091770533224085
fraud_feature_discrete_medium_v191,0.08254725933569405
email_match_flag,0.08128074376882427
email_domain_risk,0.0801124229147472
fraud_feature_discrete_medium_v256,0.06372727912757316
fraud_feature_discrete_high_v124,0.06289434940266407
fraud_feature_discrete_medium_v139,0.061669427680761224
fraud_feature_discrete_critical_v123,0.059794939490994486
fraud_feature_discrete_medium_v254,0.057274277210471604
fraud_feature_discrete_critical_v200,0.056540004542888864
fraud_feature_discrete_critical_v87,0.055536140085247085
