iter	Passed	Remaining
0	132	13086
1	143	7052
2	153	4977
3	164	3946
4	175	3341
5	187	2935
6	198	2634
7	209	2408
8	219	2222
9	229	2065
10	239	1937
11	250	1833
12	260	1746
13	271	1668
14	281	1596
15	292	1537
16	302	1479
17	313	1427
18	324	1385
19	334	1339
20	345	1300
21	356	1262
22	366	1225
23	376	1192
24	387	1161
25	397	1130
26	407	1102
27	418	1076
28	428	1049
29	438	1023
30	449	1000
31	459	976
32	470	954
33	480	933
34	490	911
35	501	891
36	511	871
37	522	852
38	533	833
39	544	816
40	556	800
41	568	784
42	579	767
43	589	750
44	599	733
45	610	716
46	620	699
47	632	684
48	643	669
49	654	654
50	666	640
51	677	625
52	688	610
53	699	595
54	710	581
55	720	566
56	730	550
57	739	535
58	749	520
59	758	505
60	768	491
61	778	477
62	788	463
63	798	448
64	808	435
65	817	421
66	828	407
67	837	394
68	847	380
69	856	367
70	867	354
71	877	341
72	888	328
73	899	315
74	910	303
75	922	291
76	934	279
77	945	266
78	958	254
79	969	242
80	980	230
81	993	217
82	1005	205
83	1017	193
84	1027	181
85	1037	168
86	1049	156
87	1062	144
88	1073	132
89	1091	121
90	1102	109
91	1114	96
92	1126	84
93	1137	72
94	1147	60
95	1158	48
96	1169	36
97	1179	24
98	1191	12
99	1203	0
